game_date,pts,team1-1-power-forward,team1-1-point-guard,team1-1-shooting-guard,team1-1-small-forward,team1-1-center,team1-1-power-forward-exp,team1-1-point-guard-exp,team1-1-shooting-guard-exp,team1-1-small-forward-exp,team1-1-center-exp,team1-2-power-forward,team1-2-point-guard,team1-2-shooting-guard,team1-2-small-forward,team1-2-center,team1-2-power-forward-exp,team1-2-point-guard-exp,team1-2-shooting-guard-exp,team1-2-small-forward-exp,team1-2-center-exp,team2-1-power-forward,team2-1-point-guard,team2-1-shooting-guard,team2-1-small-forward,team2-1-center,team2-1-power-forward-exp,team2-1-point-guard-exp,team2-1-shooting-guard-exp,team2-1-small-forward-exp,team2-1-center-exp,team2-2-power-forward,team2-2-point-guard,team2-2-shooting-guard,team2-2-small-forward,team2-2-center,team2-2-power-forward-exp,team2-2-point-guard-exp,team2-2-shooting-guard-exp,team2-2-small-forward-exp,team2-2-center-exp,team2,team1
2022,126,68,5,157,73,57,6,12,3,2,6,51,84,150,13,84,9,17,R,7,17,19,20,111,82,69,5,3,1,4,2,132,73,147,43,82,1,8,3,8,6,DAL,GSW
2022,127,105,63,5,87,71,2,1,5,R,10,124,35,151,77,25,1,7,17,1,14,110,10,166,5,5,18,2,R,10,4,112,28,129,39,52,1,15,2,2,8,MIA,BOS
2022,102,110,10,166,5,5,18,2,R,10,4,112,28,129,39,52,1,15,2,2,8,105,63,5,87,71,2,1,5,R,10,124,35,151,77,25,1,7,17,1,14,BOS,MIA
2022,112,68,5,157,73,57,6,12,3,2,6,51,84,150,13,84,9,17,R,7,17,19,20,111,82,69,5,3,1,4,2,132,73,147,43,82,1,8,3,8,6,DAL,GSW
2022,87,19,20,111,82,69,5,3,1,4,2,132,73,147,43,82,1,8,3,8,6,68,5,157,73,57,6,12,3,2,6,51,84,150,13,84,9,17,R,7,17,GSW,DAL
2022,118,110,10,166,5,5,18,2,R,10,4,112,28,129,39,52,1,15,2,2,8,105,63,5,87,71,2,1,5,R,10,124,35,151,77,25,1,7,17,1,14,BOS,MIA
2022,107,105,63,5,87,71,2,1,5,R,10,124,35,151,77,25,1,7,17,1,14,110,10,166,5,5,18,2,R,10,4,112,28,129,39,52,1,15,2,2,8,MIA,BOS
2022,123,19,20,111,82,69,5,3,1,4,2,132,73,147,43,82,1,8,3,8,6,102,44,1,26,9,R,6,6,3,3,26,24,90,55,58,9,16,3,4,10,PHX,DAL
2022,90,102,44,1,26,9,R,6,6,3,3,26,24,90,55,58,9,16,3,4,10,19,20,111,82,69,5,3,1,4,2,132,73,147,43,82,1,8,3,8,6,DAL,PHX
2022,109,105,63,5,87,71,2,1,5,R,10,124,35,151,77,25,1,7,17,1,14,1,76,42,78,32,8,3,3,3,10,116,64,109,55,50,4,13,5,R,12,MIL,BOS
2022,81,1,76,42,78,32,8,3,3,3,10,116,64,109,55,50,4,13,5,R,12,105,63,5,87,71,2,1,5,R,10,124,35,151,77,25,1,7,17,1,14,BOS,MIL
2022,96,82,50,16,50,49,R,6,1,7,8,129,4,133,11,22,R,2,2,4,2,68,5,157,73,57,6,12,3,2,6,51,84,150,13,84,9,17,R,7,17,GSW,MEM
2022,110,68,5,157,73,57,6,12,3,2,6,51,84,150,13,84,9,17,R,7,17,82,50,16,50,49,R,6,1,7,8,129,4,133,11,22,R,2,2,4,2,MEM,GSW
2022,108,105,63,5,87,71,2,1,5,R,10,124,35,151,77,25,1,7,17,1,14,1,76,42,78,32,8,3,3,3,10,116,64,109,55,50,4,13,5,R,12,MIL,BOS
2022,95,1,76,42,78,32,8,3,3,3,10,116,64,109,55,50,4,13,5,R,12,105,63,5,87,71,2,1,5,R,10,124,35,151,77,25,1,7,17,1,14,BOS,MIL
2022,86,102,44,1,26,9,R,6,6,3,3,26,24,90,55,58,9,16,3,4,10,19,20,111,82,69,5,3,1,4,2,132,73,147,43,82,1,8,3,8,6,DAL,PHX
